rank,label,visits,patients,visit_percentage
1,Gingivitis,1987,1691,22.643874643874646
2,Class II Malocclusion,1825,1498,20.7977207977208
3,Dental Crowding,1148,1066,13.082621082621081
4,Tooth Structure Loss,1042,831,11.874643874643874
5,Dental Caries,955,810,10.883190883190883
6,Convex Profile,746,739,8.5014245014245
7,Mandibular Skeletal Asymmetry,524,524,5.971509971509971
8,Periodontitis,669,553,7.6239316239316235
9,Class III Malocclusion,462,389,5.264957264957265
10,Pulpitis,443,364,5.048433048433049
11,Deep Overbite,421,412,4.797720797720798
12,Class I Malocclusion,359,332,4.091168091168091
13,Tooth Loss,309,268,3.5213675213675217
