rank,label,train_visits,validation_visits,test_visits,total_visits,patients,train_pct,validation_pct,test_pct
1,Gingivitis,1357,328,302,1987,1691,68.29391041771515,16.50729743331656,15.198792148968293
2,Class II Malocclusion,1299,264,262,1825,1498,71.17808219178082,14.465753424657535,14.356164383561643
3,Dental Crowding,808,171,169,1148,1066,70.38327526132404,14.895470383275262,14.721254355400697
4,Tooth Structure Loss,742,157,143,1042,831,71.20921305182341,15.067178502879077,13.723608445297506
5,Dental Caries,660,139,156,955,810,69.10994764397905,14.554973821989527,16.335078534031414
6,Convex Profile,525,108,113,746,739,70.37533512064343,14.47721179624665,15.14745308310992
7,Mandibular Skeletal Asymmetry,373,74,77,524,524,71.18320610687023,14.122137404580155,14.694656488549619
8,Periodontitis,480,98,91,669,553,71.74887892376681,14.648729446935723,13.602391629297458
9,Class III Malocclusion,327,59,76,462,389,70.77922077922078,12.770562770562771,16.450216450216452
10,Pulpitis,323,45,75,443,364,72.91196388261851,10.15801354401806,16.93002257336343
11,Deep Overbite,284,69,68,421,412,67.45843230403801,16.389548693586697,16.152019002375297
12,Class I Malocclusion,251,56,52,359,332,69.91643454038997,15.598885793871867,14.484679665738161
13,Tooth Loss,210,42,57,309,268,67.96116504854369,13.592233009708737,18.446601941747574
