split,modality_pattern_code,modality_pattern,visits,patients,labeled_visits,percentage_of_split,label_coverage_percentage
train,001,Text,2,1,2,0.0326317506934247,100.0
train,011,X-ray + Text,1,1,1,0.01631587534671235,100.0
train,100,Image,58,56,3,0.9463207701093164,5.172413793103448
train,101,Image + Text,3097,1966,2365,50.53026594876815,76.36422344204068
train,110,Image + X-ray,75,74,1,1.2236906510034264,1.3333333333333335
train,111,Image + X-ray + Text,2896,1961,2277,47.250775004078974,78.62569060773481
validation,100,Image,16,14,0,1.2030075187969926,0.0
validation,101,Image + Text,672,421,523,50.526315789473685,77.82738095238095
validation,110,Image + X-ray,26,26,0,1.954887218045113,0.0
validation,111,Image + X-ray + Text,616,421,465,46.31578947368421,75.48701298701299
test,100,Image,15,15,0,1.1398176291793314,0.0
test,101,Image + Text,659,430,519,50.07598784194529,78.7556904400607
test,110,Image + X-ray,17,17,0,1.2917933130699089,0.0
test,111,Image + X-ray + Text,625,421,485,47.49240121580547,77.60000000000001
