split,pattern,image_available,radiograph_available,text_available,missing_modality_count,samples,percentage
train,complete,True,True,True,0,2935,47.88709414260075
train,image_missing,False,True,True,1,1,0.01631587534671235
train,radiograph_missing,True,False,True,1,3146,51.329743840757054
train,text_missing,True,True,False,1,36,0.5873715124816447
train,image_radiograph_missing,False,False,True,2,2,0.0326317506934247
train,image_text_missing,False,True,False,2,0,0.0
train,radiograph_text_missing,True,False,False,2,9,0.14684287812041116
train,all_missing,False,False,False,3,0,0.0
validation,complete,True,True,True,0,627,47.142857142857146
validation,image_missing,False,True,True,1,0,0.0
validation,radiograph_missing,True,False,True,1,686,51.578947368421055
validation,text_missing,True,True,False,1,15,1.1278195488721805
validation,image_radiograph_missing,False,False,True,2,0,0.0
validation,image_text_missing,False,True,False,2,0,0.0
validation,radiograph_text_missing,True,False,False,2,2,0.15037593984962405
validation,all_missing,False,False,False,3,0,0.0
test,complete,True,True,True,0,633,48.10030395136778
test,image_missing,False,True,True,1,0,0.0
test,radiograph_missing,True,False,True,1,671,50.98784194528876
test,text_missing,True,True,False,1,9,0.6838905775075987
test,image_radiograph_missing,False,False,True,2,0,0.0
test,image_text_missing,False,True,False,2,0,0.0
test,radiograph_text_missing,True,False,False,2,3,0.22796352583586627
test,all_missing,False,False,False,3,0,0.0
