episode_relation,tooth_overlap_relation,treatment_stage_relation,treatment_progression,num_visit_pairs,num_unique_patients,total_shared_images,mean_temporal_gap_days,mean_shared_teeth
possible_same_episode,one_missing,one_missing,insufficient_stage_information,472,258,1725,0.07477342278719397,0.0
possible_same_episode,both_missing,one_missing,insufficient_stage_information,187,115,694,0.03462566844919786,0.0
insufficient_evidence,one_missing,different_stage,progression_backward,148,86,442,0.0678444069069069,0.0
insufficient_evidence,one_missing,different_stage,progression_forward,139,93,429,0.03605615507593925,0.0
possible_different_episode,no_overlap,one_missing,insufficient_stage_information,119,68,363,11.622023809523808,0.0
insufficient_evidence,partial_overlap,one_missing,insufficient_stage_information,41,23,129,0.04085365853658536,1.2439024390243902
possible_different_episode,no_overlap,different_stage,progression_backward,35,21,90,0.058472222222222224,0.0
possible_different_episode,no_overlap,different_stage,progression_forward,35,23,89,0.016269841269841268,0.0
insufficient_evidence,both_missing,different_stage,progression_backward,29,21,113,0.06482279693486591,0.0
likely_same_episode,partial_overlap,same_stage,same_stage,28,16,105,0.052256944444444446,3.392857142857143
insufficient_evidence,one_missing,one_missing,insufficient_stage_information,25,15,75,51.47522222222222,0.0
likely_same_episode,partial_overlap,overlapping_stage,progression_backward,25,13,103,0.6827222222222222,4.12
insufficient_evidence,partial_overlap,different_stage,progression_forward,23,14,73,0.026388888888888885,1.6521739130434783
insufficient_evidence,partial_overlap,different_stage,progression_backward,23,16,52,0.08894927536231885,1.434782608695652
possible_same_episode,one_missing,overlapping_stage,progression_forward,22,11,85,0.04535984848484848,0.0
possible_same_episode,one_missing,both_missing,insufficient_stage_information,20,12,69,-0.0005555555555555551,0.0
possible_different_episode,no_overlap,overlapping_stage,progression_forward,17,9,51,0.03214869281045751,0.0
possible_same_episode,both_missing,both_missing,insufficient_stage_information,16,8,82,0.9638888888888889,0.0
likely_same_episode,partial_overlap,overlapping_stage,continued_or_overlapping,15,11,58,0.03060185185185185,2.6666666666666665
likely_same_episode,partial_overlap,overlapping_stage,progression_forward,14,9,43,0.015277777777777779,4.357142857142857
insufficient_evidence,exact_overlap,one_missing,insufficient_stage_information,13,10,39,0.01613247863247863,2.3846153846153846
possible_different_episode,no_overlap,both_missing,insufficient_stage_information,12,6,36,0.017708333333333336,0.0
possible_same_episode,one_missing,same_stage,same_stage,12,9,45,0.06435185185185185,0.0
likely_same_episode,exact_overlap,same_stage,same_stage,12,7,48,0.10439814814814814,4.583333333333333
possible_same_episode,one_missing,overlapping_stage,continued_or_overlapping,11,9,45,0.039835858585858586,0.0
insufficient_evidence,both_missing,different_stage,progression_forward,10,7,32,0.01888888888888889,0.0
insufficient_evidence,both_missing,one_missing,insufficient_stage_information,10,7,38,0.025277777777777777,0.0
possible_same_episode,one_missing,overlapping_stage,progression_backward,9,5,34,0.037191358024691354,0.0
likely_same_episode,exact_overlap,overlapping_stage,progression_forward,7,7,19,0.04176587301587301,2.857142857142857
insufficient_evidence,partial_overlap,both_missing,insufficient_stage_information,7,4,29,1.0123015873015873,1.0
insufficient_evidence,both_missing,both_missing,insufficient_stage_information,5,5,6,253.5875,0.0
possible_same_episode,partial_overlap,different_stage,progression_forward,5,4,17,0.025416666666666664,1.8
possible_different_episode,no_overlap,overlapping_stage,progression_backward,4,2,5,0.12465277777777778,0.0
possible_same_episode,partial_overlap,different_stage,progression_backward,4,2,14,0.0006944444444444445,3.0
possible_same_episode,partial_overlap,one_missing,insufficient_stage_information,4,2,21,0.0006944444444444445,3.0
likely_same_episode,exact_overlap,one_missing,insufficient_stage_information,4,4,7,21.630034722222224,2.75
possible_same_episode,both_missing,overlapping_stage,progression_backward,3,2,10,0.13888888888888887,0.0
possible_same_episode,both_missing,same_stage,same_stage,3,2,13,0.014120370370370372,0.0
possible_different_episode,no_overlap,same_stage,same_stage,2,2,11,0.0006944444444444445,0.0
possible_different_episode,one_missing,one_missing,insufficient_stage_information,2,2,7,607.1875,0.0
possible_same_episode,both_missing,overlapping_stage,progression_forward,2,2,4,0.03125,0.0
insufficient_evidence,one_missing,both_missing,insufficient_stage_information,2,1,4,0.041666666666666664,0.0
likely_same_episode,exact_overlap,both_missing,insufficient_stage_information,2,1,11,0.0006944444444444445,1.0
likely_same_episode,exact_overlap,overlapping_stage,progression_backward,2,1,10,0.041666666666666664,4.0
possible_same_episode,both_missing,overlapping_stage,continued_or_overlapping,2,2,3,0.010763888888888889,0.0
likely_same_episode,exact_overlap,overlapping_stage,continued_or_overlapping,1,1,3,0.08333333333333333,1.0
likely_different_episode,no_overlap,one_missing,insufficient_stage_information,1,1,1,643.0416666666666,0.0
insufficient_evidence,one_missing,overlapping_stage,progression_backward,1,1,2,0.020833333333333332,0.0
insufficient_evidence,exact_overlap,different_stage,progression_forward,1,1,2,0.08333333333333333,2.0
likely_same_episode,exact_overlap,different_stage,progression_forward,1,1,2,0.0006944444444444445,2.0
possible_different_episode,no_overlap,overlapping_stage,continued_or_overlapping,1,1,2,0.0006944444444444445,0.0
possible_same_episode,partial_overlap,overlapping_stage,progression_backward,1,1,3,52.895833333333336,1.0
