modality,visit_relationship,temporal_gap_category,tooth_overlap_relation,treatment_stage_relation,treatment_progression,episode_relation,num_visit_pairs,total_shared_images,mean_shared_images
photographs,consecutive,1_7_days,one_missing,one_missing,insufficient_stage_information,possible_same_episode,248,1214,4.895161290322581
photographs,consecutive,1_7_days,both_missing,one_missing,insufficient_stage_information,possible_same_episode,106,530,5.0
photographs,consecutive,1_7_days,one_missing,different_stage,progression_backward,insufficient_evidence,76,314,4.131578947368421
photographs,consecutive,1_7_days,one_missing,different_stage,progression_forward,insufficient_evidence,76,288,3.789473684210526
photographs,consecutive,1_7_days,no_overlap,one_missing,insufficient_stage_information,possible_different_episode,61,241,3.9508196721311477
photographs,consecutive,1_7_days,partial_overlap,one_missing,insufficient_stage_information,insufficient_evidence,21,92,4.380952380952381
photographs,consecutive,1_7_days,no_overlap,different_stage,progression_forward,possible_different_episode,20,58,2.9
photographs,consecutive,1_7_days,no_overlap,different_stage,progression_backward,possible_different_episode,18,58,3.2222222222222223
photographs,consecutive,1_7_days,partial_overlap,same_stage,same_stage,likely_same_episode,16,68,4.25
photographs,consecutive,1_7_days,both_missing,different_stage,progression_backward,insufficient_evidence,15,85,5.666666666666667
photographs,consecutive,1_7_days,partial_overlap,different_stage,progression_backward,insufficient_evidence,14,34,2.4285714285714284
photographs,consecutive,1_7_days,one_missing,one_missing,insufficient_stage_information,insufficient_evidence,13,53,4.076923076923077
photographs,consecutive,1_7_days,partial_overlap,different_stage,progression_forward,insufficient_evidence,13,53,4.076923076923077
photographs,non_consecutive,1_7_days,one_missing,one_missing,insufficient_stage_information,possible_same_episode,12,71,5.916666666666667
photographs,consecutive,1_7_days,partial_overlap,overlapping_stage,continued_or_overlapping,likely_same_episode,11,48,4.363636363636363
photographs,consecutive,1_7_days,exact_overlap,one_missing,insufficient_stage_information,insufficient_evidence,10,33,3.3
photographs,consecutive,1_7_days,one_missing,both_missing,insufficient_stage_information,possible_same_episode,10,44,4.4
photographs,non_consecutive,1_7_days,one_missing,different_stage,progression_forward,insufficient_evidence,10,45,4.5
photographs,consecutive,1_7_days,one_missing,overlapping_stage,progression_forward,possible_same_episode,9,40,4.444444444444445
photographs,consecutive,1_7_days,partial_overlap,overlapping_stage,progression_backward,likely_same_episode,9,45,5.0
photographs,consecutive,1_7_days,no_overlap,overlapping_stage,progression_forward,possible_different_episode,8,22,2.75
photographs,consecutive,1_7_days,one_missing,same_stage,same_stage,possible_same_episode,8,37,4.625
photographs,consecutive,1_7_days,both_missing,one_missing,insufficient_stage_information,insufficient_evidence,7,32,4.571428571428571
photographs,consecutive,1_7_days,exact_overlap,overlapping_stage,progression_forward,likely_same_episode,7,19,2.7142857142857144
photographs,consecutive,1_7_days,exact_overlap,same_stage,same_stage,likely_same_episode,7,36,5.142857142857143
photographs,consecutive,1_7_days,both_missing,both_missing,insufficient_stage_information,possible_same_episode,6,49,8.166666666666666
photographs,consecutive,1_7_days,partial_overlap,overlapping_stage,progression_forward,likely_same_episode,6,25,4.166666666666667
photographs,consecutive,1_7_days,both_missing,different_stage,progression_forward,insufficient_evidence,5,24,4.8
photographs,consecutive,1_7_days,one_missing,overlapping_stage,continued_or_overlapping,possible_same_episode,5,30,6.0
photographs,non_consecutive,1_7_days,one_missing,different_stage,progression_backward,insufficient_evidence,5,17,3.4
photographs,consecutive,1_7_days,no_overlap,both_missing,insufficient_stage_information,possible_different_episode,4,20,5.0
photographs,consecutive,1_7_days,one_missing,overlapping_stage,progression_backward,possible_same_episode,4,26,6.5
photographs,consecutive,1_7_days,partial_overlap,both_missing,insufficient_stage_information,insufficient_evidence,4,25,6.25
photographs,consecutive,1_7_days,partial_overlap,different_stage,progression_forward,possible_same_episode,4,15,3.75
photographs,non_consecutive,1_7_days,both_missing,one_missing,insufficient_stage_information,possible_same_episode,4,19,4.75
photographs,non_consecutive,1_7_days,no_overlap,one_missing,insufficient_stage_information,possible_different_episode,4,14,3.5
photographs,non_consecutive,1_7_days,one_missing,overlapping_stage,progression_forward,possible_same_episode,4,26,6.5
photographs,non_consecutive,1_7_days,partial_overlap,overlapping_stage,progression_backward,likely_same_episode,3,27,9.0
photographs,consecutive,1_7_days,both_missing,overlapping_stage,continued_or_overlapping,possible_same_episode,2,3,1.5
photographs,consecutive,1_7_days,both_missing,overlapping_stage,progression_backward,possible_same_episode,2,9,4.5
photographs,consecutive,1_7_days,both_missing,same_stage,same_stage,possible_same_episode,2,12,6.0
photographs,consecutive,1_7_days,exact_overlap,one_missing,insufficient_stage_information,likely_same_episode,2,4,2.0
photographs,consecutive,1_7_days,no_overlap,same_stage,same_stage,possible_different_episode,2,11,5.5
photographs,consecutive,1_7_days,partial_overlap,different_stage,progression_backward,possible_same_episode,2,10,5.0
photographs,consecutive,1_7_days,partial_overlap,one_missing,insufficient_stage_information,possible_same_episode,2,16,8.0
photographs,non_consecutive,1_7_days,no_overlap,both_missing,insufficient_stage_information,possible_different_episode,2,4,2.0
photographs,non_consecutive,1_7_days,no_overlap,different_stage,progression_forward,possible_different_episode,2,4,2.0
photographs,non_consecutive,1_7_days,partial_overlap,overlapping_stage,progression_forward,likely_same_episode,2,9,4.5
photographs,consecutive,1_7_days,both_missing,overlapping_stage,progression_forward,possible_same_episode,1,2,2.0
photographs,consecutive,1_7_days,exact_overlap,both_missing,insufficient_stage_information,likely_same_episode,1,9,9.0
photographs,consecutive,1_7_days,exact_overlap,different_stage,progression_forward,insufficient_evidence,1,2,2.0
photographs,consecutive,1_7_days,exact_overlap,different_stage,progression_forward,likely_same_episode,1,2,2.0
photographs,consecutive,1_7_days,exact_overlap,overlapping_stage,continued_or_overlapping,likely_same_episode,1,3,3.0
photographs,consecutive,1_7_days,exact_overlap,overlapping_stage,progression_backward,likely_same_episode,1,8,8.0
photographs,consecutive,1_7_days,no_overlap,overlapping_stage,progression_backward,possible_different_episode,1,1,1.0
photographs,consecutive,1_7_days,one_missing,both_missing,insufficient_stage_information,insufficient_evidence,1,2,2.0
photographs,consecutive,1_7_days,one_missing,overlapping_stage,progression_backward,insufficient_evidence,1,2,2.0
photographs,consecutive,31_90_days,exact_overlap,one_missing,insufficient_stage_information,likely_same_episode,1,1,1.0
photographs,consecutive,8_30_days,both_missing,both_missing,insufficient_stage_information,possible_same_episode,1,8,8.0
photographs,consecutive,8_30_days,exact_overlap,one_missing,insufficient_stage_information,likely_same_episode,1,2,2.0
photographs,consecutive,over_1_year,one_missing,one_missing,insufficient_stage_information,possible_different_episode,1,6,6.0
photographs,non_consecutive,1_7_days,both_missing,both_missing,insufficient_stage_information,possible_same_episode,1,8,8.0
photographs,non_consecutive,1_7_days,no_overlap,different_stage,progression_backward,possible_different_episode,1,2,2.0
photographs,non_consecutive,1_7_days,no_overlap,overlapping_stage,progression_backward,possible_different_episode,1,1,1.0
photographs,non_consecutive,1_7_days,no_overlap,overlapping_stage,progression_forward,possible_different_episode,1,6,6.0
photographs,non_consecutive,1_7_days,one_missing,both_missing,insufficient_stage_information,possible_same_episode,1,6,6.0
photographs,non_consecutive,1_7_days,one_missing,overlapping_stage,continued_or_overlapping,possible_same_episode,1,4,4.0
photographs,non_consecutive,1_7_days,one_missing,same_stage,same_stage,possible_same_episode,1,4,4.0
photographs,non_consecutive,1_7_days,partial_overlap,different_stage,progression_backward,insufficient_evidence,1,2,2.0
photographs,non_consecutive,1_7_days,partial_overlap,different_stage,progression_forward,insufficient_evidence,1,2,2.0
photographs,non_consecutive,1_7_days,partial_overlap,one_missing,insufficient_stage_information,insufficient_evidence,1,2,2.0
